hour	value
463546	91
463547	76
463548	74
463549	57
463550	57
463551	63
463552	60
463553	59
463554	67
463555	77
463556	94
463557	105
463558	135
463559	138
463560	152
463561	159
463562	154
463563	153
463564	151
463565	151
463566	136
463567	126
463568	123
463569	118
463570	90
463571	79
463572	72
463573	62
463574	64
463575	68
463576	65
463577	63
463578	75
463579	79
463580	92
463581	108
463582	139
463583	150
463584	145
463585	150
463586	150
463587	149
463588	159
463589	142
463590	154
463591	141
463592	125
463593	124
463594	95
463595	82
463596	79
463597	62
463598	62
463599	66
463600	70
463601	63
463602	77
463603	85
463604	97
463605	115
463606	148
463607	144
463608	164
463609	160
463610	166
463611	164
463612	158
463613	158
463614	159
463615	134
463616	127
463617	118
463618	97
463619	82
463620	72
463621	69
463622	65
463623	67
463624	64
463625	69
463626	76
463627	81
463628	102
463629	112
463630	141
463631	157
463632	165
463633	156
463634	157
463635	151
463636	158
463637	155
463638	155
463639	138
463640	124
463641	113
463642	97
463643	81
463644	74
463645	64
463646	65
463647	67
463648	66
463649	69
463650	77
463651	85
463652	103
463653	117
463654	148
463655	147
463656	167
463657	165
463658	156
463659	162
463660	161
463661	160
463662	154
463663	147
463664	131
463665	122
463666	101
463667	92
463668	83
463669	74
463670	67
463671	74
463672	67
463673	69
463674	80
463675	86
463676	101
463677	129
463678	158
463679	169
463680	158
463681	180
463682	173
463683	164
463684	163
463685	174
463686	170
463687	150
463688	135
463689	134
463690	103
463691	90
463692	81
463693	68
463694	70
463695	70
463696	69
463697	77
463698	82
463699	94
463700	102
463701	127
463702	152
463703	175
463704	174
463705	191
463706	177
463707	186
463708	168
463709	170
463710	172
463711	173
463712	151
463713	145
463714	116
463715	98
463716	92
463717	73
463718	74
463719	83
463720	78
463721	80
463722	88
463723	90
463724	112
463725	138
463726	164
463727	179
463728	174
463729	172
463730	183
463731	188
463732	186
463733	166
463734	162
463735	165
463736	146
463737	138
463738	105
463739	97
463740	86
463741	72
463742	69
463743	71
463744	78
463745	75
463746	81
463747	90
463748	102
463749	125
463750	155
463751	171
463752	168
463753	173
463754	182
463755	169
463756	174
463757	166
463758	168
463759	151
463760	143
463761	133
463762	100
463763	91
463764	85
463765	72
463766	71
463767	72
463768	72
463769	67
463770	81
463771	91
463772	98
463773	127
463774	139
463775	158
463776	158
463777	167
463778	173
463779	155
463780	162
463781	147
463782	158
463783	145
463784	138
463785	123
463786	91
463787	87
463788	78
463789	63
463790	64
463791	64
463792	62
463793	68
463794	71
463795	74
463796	87
463797	103
463798	141
463799	138
463800	139
463801	150
463802	159
463803	155
463804	145
463805	134
463806	132
463807	121
463808	113
463809	112
463810	86
463811	74
463812	64
463813	58
463814	61
463815	61
463816	55
463817	58
463818	65
463819	73
463820	89
463821	101
463822	123
463823	137
463824	137
463825	138
463826	148
463827	136
463828	137
463829	127
463830	128
463831	122
463832	119
463833	104
463834	84
463835	77
463836	64
463837	56
463838	57
463839	57
463840	55
463841	58
463842	62
463843	66
463844	87
463845	93
463846	117
463847	126
463848	123
463849	140
463850	135
463851	125
463852	140
463853	134
463854	132
463855	111
463856	105
463857	105
463858	80
463859	71
463860	64
463861	51
463862	52
463863	56
463864	56
463865	55
463866	59
463867	65
463868	77
463869	94
463870	122
463871	132
463872	135
463873	142
463874	141
463875	136
463876	142
463877	132
463878	133
463879	124
463880	123
463881	109
463882	84
463883	78
463884	65
463885	57
463886	61
463887	56
463888	59
463889	64
463890	63
463891	73
463892	82
463893	101
463894	131
463895	128
463896	144
463897	150
463898	147
463899	139
463900	140
463901	139
463902	130
463903	124
463904	108
463905	99
463906	86
463907	78
463908	63
463909	61
463910	59
463911	54
463912	55
463913	57
463914	62
463915	69
463916	82
463917	102
463918	119
463919	130
463920	127
463921	143
463922	146
463923	133
463924	128
463925	127
463926	122
463927	118
463928	109
463929	104
463930	80
463931	73
463932	64
463933	59
463934	53
463935	56
463936	59
463937	56
463938	65
463939	64
463940	81
463941	98
463942	108
463943	116
463944	122
463945	138
463946	130
463947	135
463948	120
463949	123
463950	129
463951	108
463952	108
463953	91
463954	71
463955	74
463956	59
463957	55
463958	55
463959	54
463960	52
463961	54
463962	54
463963	63
463964	76
463965	88
